what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1337411234002
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1337411234100
closed,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1337411234117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411240691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411254704
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1337411254861
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1337411254861
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1337411255338
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1337411255448
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1337411255462
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1337411255964
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1337411256233
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1337411256290
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1337411256348
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1337411256386
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1337411256524
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1337411256741
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1337411256764
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1337411257311
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1337411257338
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1337411257346
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1337411257355
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1337411257358
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1337411257362
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1337411257363
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1337411257369
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1337411257591
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1337411257592
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1337411257596
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1337411257597
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1337411257706
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1337411257835
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1337411268675
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1337411268684
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1337411268831
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1337411268869
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1337411268882
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1337411269086
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1337411269099
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1337411269118
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1337411269134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411269443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411273785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411275232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411291154
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411291307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411294488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411296782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411298257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411312079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411317830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411317963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411319871
executed,command,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.deubg.ui.phpexeShortcut.run",1337411319890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411404692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337411629027
